season_id,match_id,slug,title,time_of_day,date,time,status,status_description,winner_team_id,toss_winner_team_id,toss_choice,ground_id,team_1_id,team_2_id,team_1_score,team_1_scoreInfo,team_2_scoreInfo
15946,113511,united-states-of-america-vs-india-25th-match-group-a,"25th Match, Group A",day,2024-06-12,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,3662,11,6,,,
15946,113512,west-indies-vs-new-zealand-26th-match-group-c,"26th Match, Group C",night,2024-06-12,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2041,4,5,,,
15946,113513,bangladesh-vs-netherlands-27th-match-group-b,"27th Match, Group B",day,2024-06-13,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,680,25,15,,,
15946,113514,england-vs-oman-28th-match-group-d,"28th Match, Group D",day,2024-06-13,00:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,1,37,,,
15946,113515,afghanistan-vs-papua-new-guinea-29th-match-group-c,"29th Match, Group C",night,2024-06-13,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2041,40,20,,,
15946,113516,united-states-of-america-vs-ireland-30th-match-group-a,"30th Match, Group A",day,2024-06-14,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2405,11,29,,,
15946,113517,nepal-vs-south-africa-31st-match-group-d,"31st Match, Group D",night,2024-06-14,05:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,680,32,3,,,
15946,113518,new-zealand-vs-uganda-32nd-match-group-c,"32nd Match, Group C",night,2024-06-14,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2041,5,34,,,
15946,113519,canada-vs-india-33rd-match-group-a,"33rd Match, Group A",day,2024-06-15,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2405,17,6,,,
15946,113520,england-vs-namibia-34th-match-group-b,"34th Match, Group B",day,2024-06-15,22:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,1,28,,,
15946,113521,australia-vs-scotland-35th-match-group-b,"35th Match, Group B",night,2024-06-15,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1697,2,30,,,
15946,113522,ireland-vs-pakistan-36th-match-group-a,"36th Match, Group A",day,2024-06-16,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2405,29,7,,,
15946,113523,bangladesh-vs-nepal-37th-match-group-d,"37th Match, Group D",night,2024-06-16,05:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,680,25,32,,,
15946,113524,netherlands-vs-sri-lanka-38th-match-group-d,"38th Match, Group D",night,2024-06-16,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1697,15,8,,,
15946,113525,new-zealand-vs-papua-new-guinea-39th-match-group-c,"39th Match, Group C",day,2024-06-17,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2041,5,20,,,
15946,113526,west-indies-vs-afghanistan-40th-match-group-c,"40th Match, Group C",night,2024-06-17,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1697,4,40,,,
15946,113527,tba-vs-tba-41st-match-super-eights-group-2,"41st Match, Super Eights, Group 2",day,2024-06-19,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,0,0,,,
15946,113528,tba-vs-tba-42nd-match-super-eights-group-2,"42nd Match, Super Eights, Group 2",night,2024-06-19,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1697,0,0,,,
15946,113529,tba-vs-tba-43rd-match-super-eights-group-1,"43rd Match, Super Eights, Group 1",day,2024-06-20,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,0,0,,,
15946,113530,tba-vs-tba-44th-match-super-eights-group-1,"44th Match, Super Eights, Group 1",night,2024-06-20,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,0,0,,,
15946,113531,tba-vs-tba-45th-match-super-eights-group-2,"45th Match, Super Eights, Group 2",day,2024-06-21,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1697,0,0,,,
15946,113532,tba-vs-tba-46th-match-super-eights-group-2,"46th Match, Super Eights, Group 2",night,2024-06-21,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,0,0,,,
15946,113533,tba-vs-tba-47th-match-super-eights-group-1,"47th Match, Super Eights,Group 1",day,2024-06-22,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,0,0,,,
15946,113534,tba-vs-tba-48th-match-super-eights-group-1,"48th Match, Super Eights, Group 1",night,2024-06-22,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,680,0,0,,,
15946,113535,tba-vs-tba-49th-match-super-eights-group-2,"49th Match, Super Eights, Group 2",day,2024-06-23,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,0,0,,,
15946,113536,tba-vs-tba-50th-match-super-eights-group-2,"50th Match, Super Eights, Group 2",night,2024-06-23,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1985,0,0,,,
15946,113537,tba-vs-tba-51st-match-super-eights-group-1,"51st Match, Super Eights, Group 1",day,2024-06-24,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1697,0,0,,,
15946,113538,tba-vs-tba-52nd-match-super-eights-group-1,"52nd Match, Super Eights, Group 1",night,2024-06-24,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,680,0,0,,,
15946,113539,tba-vs-tba-1st-semi-final,1st Semi-Final,night,2024-06-26,06:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,2041,0,0,,,
15946,113540,tba-vs-tba-2nd-semi-final,2nd Semi-Final,day,2024-06-27,20:00:00,{{MATCH_START_TIME}},Match yet to begin,,,,1986,0,0,,,
15946,113541,tba-vs-tba-final,Final,day,2024-06-29,19:30:00,{{MATCH_START_TIME}},Match yet to begin,,,,199,0,0,,,
